,Unnamed: 0,ds,yhat,yhat_lower,yhat_upper,time,score
0,14133,2019-06-25 15:12:00,6.5422432069634935,-15.080843291993785,29.073352388085205,1561455720.0,0.0
1,14134,2019-06-25 15:13:00,6.51978362348607,-13.820755700033818,26.821786918062763,1561455780.0,0.1193361866276252
2,14135,2019-06-25 15:14:00,6.498066378185666,-14.77031753251126,26.698354820711337,1561455840.0,0.41251376369071546
3,14136,2019-06-25 15:15:00,6.4770866468363915,-14.249586916914867,28.39866559914228,1561455900.0,0.676132718581325
4,14137,2019-06-25 15:16:00,6.45683948023313,-15.169180210068712,27.631396308185888,1561455960.0,0.8826613613482115
5,14138,2019-06-25 15:17:00,6.43731980577058,-14.264682522688851,26.820907038646194,1561456020.0,1.043489484397859
6,14139,2019-06-25 15:18:00,6.418522429091167,-14.799857480927761,26.066546393018236,1561456080.0,1.1677299536303496
7,14140,2019-06-25 15:19:00,6.400442036555699,-15.167405987868385,28.06333297880923,1561456140.0,1.2626743904942095
8,14141,2019-06-25 15:20:00,6.383073196873312,-13.218446862120981,26.89489388900931,1561456200.0,1.3341571032967
9,14142,2019-06-25 15:21:00,6.3664103631410365,-16.1299486787393,27.1779420799055,1561456260.0,1.3868466947778744
10,14143,2019-06-25 15:22:00,6.35044787499765,-14.20983333141296,27.77162084383643,1561456320.0,1.4244792381956928
11,14144,2019-06-25 15:23:00,6.335179960364808,-15.354511364703503,27.002952091119283,1561456380.0,1.4500446240621283
12,14145,2019-06-25 15:24:00,6.320600737867209,-15.134306067266744,26.676280905715732,1561456440.0,1.4659360402991486
13,14146,2019-06-25 15:25:00,6.3067042189501485,-15.790483049940686,27.680276330125288,1561456500.0,1.4740691931551455
14,14147,2019-06-25 15:26:00,6.2934843095468445,-14.661777716846025,28.368819803772897,1561456560.0,1.4759776307171764
15,14148,2019-06-25 15:27:00,6.280934812777012,-14.296454134288707,27.266345391664828,1561456620.0,1.4728895478834434
16,14149,2019-06-25 15:28:00,6.269049430899818,-15.538333105957534,27.0256361009403,1561456680.0,1.4657885735823628
17,14150,2019-06-25 15:29:00,6.257821767518658,-15.047506967374867,28.72607488975614,1561456740.0,1.455462769795572
18,14151,2019-06-25 15:30:00,6.247245329621612,-13.532002953336717,27.433510954090604,1561456800.0,1.4425436769244278
19,14152,2019-06-25 15:31:00,6.237313530289457,-14.355987570200078,27.12492068587627,1561456860.0,1.4275378564616383
20,14153,2019-06-25 15:32:00,6.2280196906068115,-14.61092669410259,28.538642371291477,1561456920.0,1.410851584482138
21,14154,2019-06-25 15:33:00,6.219357041873501,-14.159521656424653,28.044240737871377,1561456980.0,1.3928110124912414
22,14155,2019-06-25 15:34:00,6.2113187283478615,-15.409873557679472,26.312342819627823,1561457040.0,1.373678380246553
23,14156,2019-06-25 15:35:00,6.203897809124728,-13.9474442940557,28.23950005534164,1561457100.0,1.353664470533838
24,14157,2019-06-25 15:36:00,6.197087260811265,-14.414720841869435,27.302753803440403,1561457160.0,1.3329391873721077
25,14158,2019-06-25 15:37:00,6.1908799796898615,-13.851504053661435,26.662380328163465,1561457220.0,1.311639533962641
26,14159,2019-06-25 15:38:00,6.185268783987622,-13.736980460532243,27.904191253025704,1561457280.0,1.2898762245704152
27,14160,2019-06-25 15:39:00,6.180246416868313,-16.061293193562697,27.35889481956532,1561457340.0,1.267739200053416
28,14161,2019-06-25 15:40:00,6.175805548055697,-15.169962849005186,27.98623427044255,1561457400.0,1.2453012690976166
29,14162,2019-06-25 15:41:00,6.171938776638313,-14.137047464434588,27.107312436180855,1561457460.0,1.2226219633521649
30,14163,2019-06-25 15:42:00,6.168638633895213,-15.988492985295698,28.179167337825195,1561457520.0,1.1997501908589807
31,14164,2019-06-25 15:43:00,6.165897584905824,-14.060071512842852,28.309205275461093,1561457580.0,1.1767259040419493
32,14165,2019-06-25 15:44:00,6.16370803172302,-14.071882683378597,27.189144643598084,1561457640.0,1.1535824599263513
33,14166,2019-06-25 15:45:00,6.162062315574932,-16.253178117406584,27.381491809932232,1561457700.0,1.130347571211804
34,14167,2019-06-25 15:46:00,6.160952719329907,-15.225516012766823,28.002398493317752,1561457760.0,1.107044524270199
35,14168,2019-06-25 15:47:00,6.16037147016701,-14.5480422948966,27.175605756984282,1561457820.0,1.0836931314572753
36,14169,2019-06-25 15:48:00,6.160310741857032,-15.671335256046223,26.47233839180218,1561457880.0,1.060310273510571
37,14170,2019-06-25 15:49:00,6.160762657304837,-13.573173723614756,27.523307733583565,1561457940.0,0.7015323667709303
38,14171,2019-06-25 15:50:00,6.1617192914576995,-14.45021350092793,27.20567948035725,1561458000.0,0.3706395331891812
39,14172,2019-06-25 15:51:00,6.163172673257304,-14.859578590821734,26.76394742057527,1561458060.0,0.10716741696405523
40,14173,2019-06-25 15:52:00,6.165114788465395,-14.208174812614573,28.77725976715398,1561458120.0,0.1069574975184657
41,14174,2019-06-25 15:53:00,6.167537582445625,-14.736664852913115,25.5991814130017,1561458180.0,0.26858923675668683
42,14175,2019-06-25 15:54:00,6.170432962203296,-15.042439241591765,25.43362360459663,1561458240.0,0.4002302424068732
43,14176,2019-06-25 15:55:00,6.173792799199022,-14.787097795331974,27.836129461144232,1561458300.0,0.5041309397080677
44,14177,2019-06-25 15:56:00,6.1776089321168355,-13.223224529978022,27.740295893909646,1561458360.0,0.5857990414663343
45,14178,2019-06-25 15:57:00,6.181873168890211,-15.015711007264946,25.90465268713047,1561458420.0,0.6496413635086351
