,Unnamed: 0,ds,yhat,yhat_lower,yhat_upper,time,score
0,10499,2019-06-25 15:12:00,27.73609020542049,19.816154399441867,36.229018582804244,1561455720.0,0.0
1,10500,2019-06-25 15:13:00,27.64822016026324,19.325441448739433,35.6561239554013,1561455780.0,0.08338872301418664
2,10501,2019-06-25 15:14:00,27.563366767789663,19.61235892188772,34.84247172495544,1561455840.0,0.361122404119119
3,10502,2019-06-25 15:15:00,27.481523970248478,20.113743433491788,35.84517783800329,1561455900.0,0.6042681171433851
4,10503,2019-06-25 15:16:00,27.40268492447564,19.013420405262497,35.463915624352325,1561455960.0,0.7963297303850244
5,10504,2019-06-25 15:17:00,27.32684200233265,19.363723145032306,35.5331353161031,1561456020.0,0.9474597037025771
6,10505,2019-06-25 15:18:00,27.25398679451396,19.687598183132298,35.15414169147516,1561456080.0,1.0657808218379787
7,10506,2019-06-25 15:19:00,27.18411011370829,18.952450525520348,34.791764238734345,1561456140.0,1.1577920706452671
8,10507,2019-06-25 15:20:00,27.11720199568673,19.331866095714066,35.118257851862424,1561456200.0,1.2286932137851538
9,10508,2019-06-25 15:21:00,27.053251704835404,19.341589649991,35.628521425064704,1561456260.0,1.2826450248030636
10,10509,2019-06-25 15:22:00,26.99224773566816,18.942372944673018,34.557482775614524,1561456320.0,1.3229767305255993
11,10510,2019-06-25 15:23:00,26.934177816340608,18.51763456551106,34.586481024708874,1561456380.0,1.3523524943224412
12,10511,2019-06-25 15:24:00,26.879028915728608,18.377354342539512,34.96753979014038,1561456440.0,1.3729047380472559
13,10512,2019-06-25 15:25:00,26.82678724244427,18.15454244953214,34.875850732201556,1561456500.0,1.3863397815763328
14,10513,2019-06-25 15:26:00,26.77743825306632,18.49120177877465,34.590655628540624,1561456560.0,1.394023868846697
15,10514,2019-06-25 15:27:00,26.73096665555542,19.256800751429058,35.49576190003171,1561456620.0,1.3970507572866282
16,10515,2019-06-25 15:28:00,26.68735641292873,18.93048617004564,34.876017181820984,1561456680.0,1.3962962356640358
17,10516,2019-06-25 15:29:00,26.64659074985473,18.540281978807684,34.66573522716755,1561456740.0,1.3924619706840948
18,10517,2019-06-25 15:30:00,26.60865215658541,18.21942223015889,34.95724200661548,1561456800.0,1.3861100947068123
19,10518,2019-06-25 15:31:00,26.57352239456455,18.61968441132144,34.84096037366895,1561456860.0,1.377691256628461
20,10519,2019-06-25 15:32:00,26.541182502761306,18.75370355019476,34.36268702464271,1561456920.0,1.3675669784813402
21,10520,2019-06-25 15:33:00,26.511612802573275,18.850882496262056,34.566160054321074,1561456980.0,1.356027351917922
22,10521,2019-06-25 15:34:00,26.484792903983397,18.44755745478614,34.670330697023736,1561457040.0,1.3433054308089791
23,10522,2019-06-25 15:35:00,26.460701712510303,18.213047872499466,34.518417920864586,1561457100.0,1.3295887043221741
24,10523,2019-06-25 15:36:00,26.43931743446597,18.782453076231736,34.24035268249925,1561457160.0,1.315028057689124
25,10524,2019-06-25 15:37:00,26.42061758470049,19.343368288675443,35.014816431642394,1561457220.0,1.2997453070430234
26,10525,2019-06-25 15:38:00,26.40457899283896,18.17280776244882,34.534294552599754,1561457280.0,1.2838388767200755
27,10526,2019-06-25 15:39:00,26.39117780973545,17.995502969770232,35.06022840745548,1561457340.0,1.2673884927387753
28,10527,2019-06-25 15:40:00,26.38038951639254,18.125477283753273,34.43090056027285,1561457400.0,1.2504591338921598
29,10528,2019-06-25 15:41:00,26.372188929840625,18.47625901071532,33.79995278987486,1561457460.0,1.2331037100726607
30,10529,2019-06-25 15:42:00,26.36655021082177,18.280907479926668,34.83670052305081,1561457520.0,1.2153656300863747
31,10530,2019-06-25 15:43:00,26.36344687289812,18.7761087516132,33.80843747429548,1561457580.0,1.197280821588702
32,10531,2019-06-25 15:44:00,26.362851788879727,18.632875655344943,34.12974413974466,1561457640.0,1.1788789875015189
33,10532,2019-06-25 15:45:00,26.36473720007192,18.293863417991133,34.447447354434516,1561457700.0,0.8284114919098173
34,10533,2019-06-25 15:46:00,26.36907472409253,19.01597417348281,34.66229455301437,1561457760.0,0.4443058775947694
35,10534,2019-06-25 15:47:00,26.375835363599073,18.397714030160955,34.05169945200969,1561457820.0,0.13807800066996914
36,10535,2019-06-25 15:48:00,26.384989515075286,18.672320928253907,34.48884883624283,1561457880.0,0.11082985736335228
37,10536,2019-06-25 15:49:00,26.396506977796808,18.702666039463672,34.590178595471876,1561457940.0,0.29965998169329616
38,10537,2019-06-25 15:50:00,26.410356962416838,18.294083968301702,34.2523873220496,1561458000.0,0.45349692813541126
39,10538,2019-06-25 15:51:00,26.426508100922817,17.908509817635764,34.234769700876825,1561458060.0,0.5752260566837771
40,10539,2019-06-25 15:52:00,26.44492845574723,18.733566466131553,35.010260332818696,1561458120.0,0.6711991182574804
41,10540,2019-06-25 15:53:00,26.46558552891636,18.8662955456893,34.71255880369599,1561458180.0,0.7464979728520615
42,10541,2019-06-25 15:54:00,26.488446272610783,18.037100432171187,34.070014199016384,1561458240.0,0.8051886984513165
43,10542,2019-06-25 15:55:00,26.513477098700857,17.94527482328272,34.56944519954343,1561458300.0,0.8505246631253466
44,10543,2019-06-25 15:56:00,26.54064388831845,18.717547827244125,34.803410237130734,1561458360.0,0.8851090761072208
45,10544,2019-06-25 15:57:00,26.5699120031838,17.629063145959606,34.46540132314753,1561458420.0,0.9110251809713976
46,10545,2019-06-25 15:58:00,26.601246294686142,18.673042460871986,34.45767033152142,1561458480.0,0.9299400567331498
