,ds,yhat,yhat_lower,yhat_upper,time
12383,2019-06-25 15:12:00,22.551433373710527,15.89730895431338,29.898248607855948,1561455720.0
12384,2019-06-25 15:13:00,22.478386067133954,15.44534836849095,29.80632974459472,1561455780.0
12385,2019-06-25 15:14:00,22.40749723055955,14.939229400666841,29.59975907862803,1561455840.0
12386,2019-06-25 15:15:00,22.33875270530347,14.912858008080816,29.382205001587426,1561455900.0
12387,2019-06-25 15:16:00,22.272137892560846,15.479595968115781,29.41926698346223,1561455960.0
12388,2019-06-25 15:17:00,22.207637757345562,14.41747497413329,28.952966119413805,1561456020.0
12389,2019-06-25 15:18:00,22.145236833987887,14.64026655405926,28.99928614464932,1561456080.0
12390,2019-06-25 15:19:00,22.084919232625293,15.312036978457874,29.384365862398553,1561456140.0
12391,2019-06-25 15:20:00,22.026668643369018,14.786352186394343,29.02095449710042,1561456200.0
12392,2019-06-25 15:21:00,21.97046834312779,14.432241233347268,29.089664957690832,1561456260.0
12393,2019-06-25 15:22:00,21.91630120069465,14.51883892251194,29.525734061222792,1561456320.0
12394,2019-06-25 15:23:00,21.86414968205769,14.722879971365042,28.62911701628212,1561456380.0
12395,2019-06-25 15:24:00,21.813995858510317,13.97012718741829,28.383853610437914,1561456440.0
12396,2019-06-25 15:25:00,21.765821410225342,14.659732291536509,29.579198908436492,1561456500.0
12397,2019-06-25 15:26:00,21.71960763369066,14.420188642395566,29.27915780119617,1561456560.0
12398,2019-06-25 15:27:00,21.675335448278833,14.127445092378363,28.575922912392898,1561456620.0
12399,2019-06-25 15:28:00,21.632985401692604,14.772966329654578,28.963418444298664,1561456680.0
12400,2019-06-25 15:29:00,21.592537677320518,14.572897638646197,28.379993742091152,1561456740.0
12401,2019-06-25 15:30:00,21.55397209984009,14.317411961036102,28.790540267574404,1561456800.0
12402,2019-06-25 15:31:00,21.51726814265796,14.543094872930624,28.28016399606124,1561456860.0
12403,2019-06-25 15:32:00,21.482404934553276,14.28258336701076,28.350094641972674,1561456920.0
12404,2019-06-25 15:33:00,21.449361265837627,14.336499742487563,27.915755260603433,1561456980.0
12405,2019-06-25 15:34:00,21.418115595969656,13.66211433863361,28.10671081681243,1561457040.0
12406,2019-06-25 15:35:00,21.38864606035067,13.965016384474007,28.727579721310896,1561457100.0
12407,2019-06-25 15:36:00,21.360930477081894,14.097315668740682,28.7331332853212,1561457160.0
12408,2019-06-25 15:37:00,21.334946354579127,14.713935880248485,28.712920149939393,1561457220.0
12409,2019-06-25 15:38:00,21.310670898191372,14.258119348020177,28.664479927168543,1561457280.0
12410,2019-06-25 15:39:00,21.28808101788191,14.252506401854463,28.69484083688441,1561457340.0
12411,2019-06-25 15:40:00,21.267153335807915,13.943560647550527,28.326672539403415,1561457400.0
12412,2019-06-25 15:41:00,21.247864192998147,13.85645667975959,28.205501706818318,1561457460.0
12413,2019-06-25 15:42:00,21.230189657403155,14.139326187934024,28.67114634354791,1561457520.0
12414,2019-06-25 15:43:00,21.214105531519913,13.95234303560037,28.679451101741623,1561457580.0
12415,2019-06-25 15:44:00,21.199587359281455,14.114554467027581,28.765006098174414,1561457640.0
12416,2019-06-25 15:45:00,21.1866104348168,13.7495840226416,28.137659499176408,1561457700.0
12417,2019-06-25 15:46:00,21.175149809013107,14.129720255349136,27.980277860290556,1561457760.0
12418,2019-06-25 15:47:00,21.165180298125502,14.312659537874806,28.55858312086989,1561457820.0
12419,2019-06-25 15:48:00,21.15667649130283,13.674723080509391,28.721840102723572,1561457880.0
12420,2019-06-25 15:49:00,21.14961275826645,13.889868402518376,28.755344296524864,1561457940.0
12421,2019-06-25 15:50:00,21.143963257754358,14.43344617129231,28.6318841565842,1561458000.0
12422,2019-06-25 15:51:00,21.13970194488953,14.132638304060132,28.109463802171557,1561458060.0
12423,2019-06-25 15:52:00,21.136802579487654,13.961872743356942,27.993543339557377,1561458120.0
12424,2019-06-25 15:53:00,21.135238734270317,13.932363987311149,27.65992051698987,1561458180.0
12425,2019-06-25 15:54:00,21.134983802543395,14.436161389447035,28.930025651625666,1561458240.0
12426,2019-06-25 15:55:00,21.13601100654753,13.942745333418047,28.44294633029292,1561458300.0
12427,2019-06-25 15:56:00,21.138293405710947,14.077281935761237,28.806582870315733,1561458360.0
12428,2019-06-25 15:57:00,21.141803904525403,14.013262780767452,28.60522406646148,1561458420.0
12429,2019-06-25 15:58:00,21.146515261060497,14.345206320781738,28.304002005949684,1561458480.0
12430,2019-06-25 15:59:00,21.15240009492643,14.27607208022086,28.16885631291822,1561458540.0
12431,2019-06-25 16:00:00,21.15943089579037,13.757474230806372,28.59277397840604,1561458600.0
12432,2019-06-25 16:01:00,21.16758003134139,13.953024748824603,28.432659902572162,1561458660.0
12433,2019-06-25 16:02:00,21.176819755914945,13.974587176765489,27.39895045065595,1561458720.0
12434,2019-06-25 16:03:00,21.18712221853526,14.269002201955377,28.06455463450452,1561458780.0
12435,2019-06-25 16:04:00,21.198459471326046,14.307308023270503,28.304367053359535,1561458840.0
12436,2019-06-25 16:05:00,21.210803477879647,14.419329335245864,28.5769618409247,1561458900.0
12437,2019-06-25 16:06:00,21.22412612147311,13.851753101267573,28.853488899609044,1561458960.0
12438,2019-06-25 16:07:00,21.23839921353583,14.567564406467683,28.154998388275292,1561459020.0
12439,2019-06-25 16:08:00,21.253594501953827,14.258145578718455,28.174763493677492,1561459080.0
12440,2019-06-25 16:09:00,21.269683679264475,14.023702759250483,28.464361036978964,1561459140.0
12441,2019-06-25 16:10:00,21.28663839122758,14.151489985974806,28.261994040820483,1561459200.0
