,ds,yhat,yhat_lower,yhat_upper,time
12381,2019-06-25 15:12:00,12.52793560023867,-7.002599356438328,35.138953811478984,1561455720.0
12382,2019-06-25 15:13:00,12.487909211244522,-8.120678733583484,32.40083815702111,1561455780.0
12383,2019-06-25 15:14:00,12.44927613625073,-9.25477385134857,34.107100243622504,1561455840.0
12384,2019-06-25 15:15:00,12.412026405457597,-8.471838183310457,32.358010277782284,1561455900.0
12385,2019-06-25 15:16:00,12.376149851882728,-9.480458435577871,32.97220089918914,1561455960.0
12386,2019-06-25 15:17:00,12.341636114889083,-8.942699459730484,32.59803175749227,1561456020.0
12387,2019-06-25 15:18:00,12.308474643867445,-8.24600412444702,32.627659810574286,1561456080.0
12388,2019-06-25 15:19:00,12.276654703330845,-9.675177087309963,34.0719879692653,1561456140.0
12389,2019-06-25 15:20:00,12.246165376483892,-9.96270337757157,33.4830129199723,1561456200.0
12390,2019-06-25 15:21:00,12.216995569573001,-9.606710537609038,33.13655212686861,1561456260.0
12391,2019-06-25 15:22:00,12.18913401632333,-10.121087772858138,33.74015594488521,1561456320.0
12392,2019-06-25 15:23:00,12.162569281698199,-8.954913463398706,32.74563214137721,1561456380.0
12393,2019-06-25 15:24:00,12.137289766894247,-8.438796096947648,32.731531731270756,1561456440.0
12394,2019-06-25 15:25:00,12.113283713542684,-10.375322057429806,32.08349308157686,1561456500.0
12395,2019-06-25 15:26:00,12.090539207461086,-9.230749037791478,32.95712867772806,1561456560.0
12396,2019-06-25 15:27:00,12.06904418391048,-8.951579293739456,33.73494852371471,1561456620.0
12397,2019-06-25 15:28:00,12.048786431605077,-8.426756377438203,32.76845379436086,1561456680.0
12398,2019-06-25 15:29:00,12.029753597236924,-10.83817173994191,32.07590843168132,1561456740.0
12399,2019-06-25 15:30:00,12.011933189611925,-9.000615603471957,33.57028210707488,1561456800.0
12400,2019-06-25 15:31:00,11.995312584863006,-9.108943868626131,32.80202947351784,1561456860.0
12401,2019-06-25 15:32:00,11.97987903044482,-10.285116603669058,33.64118781638953,1561456920.0
12402,2019-06-25 15:33:00,11.965619649507481,-10.014306941783303,34.49645004872856,1561456980.0
12403,2019-06-25 15:34:00,11.952521446096373,-7.137107187426613,33.21528747111985,1561457040.0
12404,2019-06-25 15:35:00,11.940571309084229,-9.960208812283712,32.07761235070457,1561457100.0
12405,2019-06-25 15:36:00,11.929756017156574,-9.384365267750962,31.070556201606106,1561457160.0
12406,2019-06-25 15:37:00,11.920062243171877,-7.8168172185361975,33.55412079839795,1561457220.0
12407,2019-06-25 15:38:00,11.91147655856859,-8.246013906900693,31.590389026029946,1561457280.0
12408,2019-06-25 15:39:00,11.90398543875491,-8.96617750390929,33.24936077119504,1561457340.0
12409,2019-06-25 15:40:00,11.897575266737766,-8.671312857010331,33.6416715336107,1561457400.0
12410,2019-06-25 15:41:00,11.892232338164485,-8.73902572490572,34.42014697152357,1561457460.0
12411,2019-06-25 15:42:00,11.887942866447462,-9.457491695262881,31.4298616849826,1561457520.0
12412,2019-06-25 15:43:00,11.884692986361996,-6.888348306836051,32.523397606567244,1561457580.0
12413,2019-06-25 15:44:00,11.882468759492005,-8.95534483623414,33.92049183507982,1561457640.0
12414,2019-06-25 15:45:00,11.88125617856218,-8.84718269908129,33.734904612767565,1561457700.0
12415,2019-06-25 15:46:00,11.881041171998978,-7.923366222471222,34.269466531742175,1561457760.0
12416,2019-06-25 15:47:00,11.881809608769265,-8.487798017479244,31.948162320266352,1561457820.0
12417,2019-06-25 15:48:00,11.883547302718908,-9.569018321445771,33.345494740407005,1561457880.0
12418,2019-06-25 15:49:00,11.88624001723916,-10.341302142271969,32.54469397531689,1561457940.0
12419,2019-06-25 15:50:00,11.889873470250588,-9.749988452822677,31.47396144779645,1561458000.0
12420,2019-06-25 15:51:00,11.894433338201354,-7.93167942280442,32.797646333545714,1561458060.0
12421,2019-06-25 15:52:00,11.899905260961928,-9.267253415149426,32.40218098957071,1561458120.0
12422,2019-06-25 15:53:00,11.906274846587714,-8.329819400929088,32.96219052178703,1561458180.0
12423,2019-06-25 15:54:00,11.913527675427328,-9.252888877185828,33.55326494960978,1561458240.0
12424,2019-06-25 15:55:00,11.921649304916517,-9.936302315748518,32.961925544609635,1561458300.0
12425,2019-06-25 15:56:00,11.930625274237386,-7.050502226935989,32.900904769070245,1561458360.0
12426,2019-06-25 15:57:00,11.940441108457536,-8.501112268229365,33.11526735382694,1561458420.0
12427,2019-06-25 15:58:00,11.951082323404393,-8.440681914496803,32.387635086459305,1561458480.0
12428,2019-06-25 15:59:00,11.962534429753205,-8.666039671401345,32.36989085164339,1561458540.0
12429,2019-06-25 16:00:00,11.97478293797557,-8.282743222345582,32.69932842510037,1561458600.0
12430,2019-06-25 16:01:00,11.987813362032007,-9.668272034915114,31.855026715270025,1561458660.0
12431,2019-06-25 16:02:00,12.00161122461302,-8.510999087670859,32.379681549570364,1561458720.0
12432,2019-06-25 16:03:00,12.016162060835441,-11.097175624158757,33.07103424459868,1561458780.0
12433,2019-06-25 16:04:00,12.031451422920323,-7.8862625638270965,33.02174993713314,1561458840.0
12434,2019-06-25 16:05:00,12.047464884426871,-8.687127128452126,32.443389421832336,1561458900.0
12435,2019-06-25 16:06:00,12.064188044518678,-9.505999574081043,33.254822542250835,1561458960.0
12436,2019-06-25 16:07:00,12.081606532262109,-9.287725869903483,34.09595334702007,1561459020.0
12437,2019-06-25 16:08:00,12.09970601084944,-8.79004304380018,32.656523619576014,1561459080.0
